instance_name,rol_cost,rol_time,nn_cost,nn_time,best
bayg29.tsp,1817.3,0.5732859611511231,2031.6,0.0012799739837646485,1610
bays29.tsp,2173.9,0.5762737274169922,2365.8,0.0016005277633666993,2020
brazil58.tsp,27347.4,9.174397015571595,30256.0,0.005401015281677246,25395
att48.tsp,37353.84667936411,4.217315912246704,41475.39140249267,0.003333115577697754,10628
bier127.tsp,130722.90343515549,251.15730261802673,147686.82515013305,0.0460202693939209,118282
eil101.tsp,729.2689620368014,89.23720242977143,797.0218026764602,0.015217828750610351,426
kroA100.tsp,24382.36920017928,85.63980183601379,27097.943260476004,0.01510293483734131,21282
kroD100.tsp,24809.196934171272,85.89523875713348,27253.62005761546,0.03731260299682617,21294
pr76.tsp,129902.34650369831,28.230516648292543,150810.80280264822,0.00910325050354004,108159
rat99.tsp,1360.406255080817,85.87455906867982,1492.35281680636,0.01460437774658203,1211
tsp225.tsp,9269.715731895383,2472.8507936000824,10074.23811657446,0.10826208591461181,3919
