instance_name,rol_cost,rol_time,nn_cost,nn_time
bayg29.tsp,1854.6666666666667,0.5856420199076334,2109.3333333333335,0.0010033448537190754
bays29.tsp,2166.6666666666665,0.595024824142456,2412.3333333333335,0.0013332366943359375
brazil58.tsp,27491.0,8.377495765686035,31428.666666666668,0.004337867101033528
att48.tsp,38931.28810729879,3.944414218266805,42031.88155410509,0.00333404541015625
bier127.tsp,132568.76368786898,209.09445110956827,143688.7932294653,0.021038611729939777
eil101.tsp,727.2027663989762,78.44581445058186,770.814326601064,0.023668527603149414
kroA100.tsp,24457.206115337074,76.90216994285583,27521.336815300612,0.01400287946065267
tsp225.tsp,9008.981869206697,2136.1011020342507,10312.498801923053,0.07268230120340984
gr17.tsp,1732.3333333333333,0.09438101450602214,1890.3333333333333,0.00033322970072428387
kroD100.tsp,24135.891359364687,76.11243192354839,28009.450253722116,0.023727973302205402
pr76.tsp,125997.89147309218,26.441510279973347,137877.44258612744,0.008140961329142252
rat99.tsp,1379.3404959609961,73.6288411617279,1439.5799037339636,0.012292782465616861
