instance_name,rol_cost,rol_time,nn_cost,nn_time
bayg29.tsp,1820.3333333333333,0.40717649459838867,2096.6666666666665,0.0003333886464436849
bays29.tsp,2151.3333333333335,0.06201807657877604,2271.6666666666665,0.0
brazil58.tsp,27602.666666666668,0.45327576001485187,31455.0,0.00033362706502278644
gr17.tsp,1680.3333333333333,0.014000415802001953,1834.3333333333333,0.0
att48.tsp,37599.40815112737,0.26273004213968915,41354.42629922955,0.0
bier127.tsp,130504.09142802586,4.736143668492635,149396.82158637015,0.0
eil101.tsp,723.2639081766205,2.400982141494751,779.9862829467673,0.0
kroA100.tsp,24449.752769923987,2.2821548779805503,26486.936641985685,0.000333865483601888
kroD100.tsp,24917.04854559126,2.3194985389709473,27314.400709335252,0.0006668567657470703
pr76.tsp,127881.61102476569,1.0246423085530598,147289.771724401,0.00033362706502278644
rat99.tsp,1358.144640072187,2.2170212268829346,1471.3300264050424,0.000667413075764974
tsp225.tsp,9316.964346429553,27.58834759394328,10147.833274157303,0.0006668567657470703
